scenario,question,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,moisture_enthalpy_correction_J,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q3,168900.0,-0.4913056500235439,-0.4913056500235439,0.0,322.8969196751515,0.09998390612415065,0.1016216001257928,0.6862407741288995,4.3555115264717125e-11,2.550469102191588e-06,8.502932125311762e-08
nominal_proxy,Q3,169200.0,-0.49000820661947714,-0.49000820661947714,0.0,322.89795695614697,0.09957571013581631,0.10120907925442696,0.6835975888055379,4.318544879147166e-11,2.52896371627509e-06,8.465798579545518e-08
nominal_proxy,Q3,169500.0,-0.4887148252552467,-0.4887148252552467,0.0,322.89898724650607,0.09917024448225081,0.10079930225272703,0.6809711535762186,4.296463604126266e-11,2.5058876174655076e-06,8.422847768999917e-08
nominal_proxy,Q3,169800.0,-0.4874255123824547,-0.4874255123824547,0.0,322.9000106108011,0.09876748411950652,0.10039224411044147,0.6783613230489649,4.260283350932868e-11,2.4848980298974865e-06,8.386356610004745e-08
nominal_proxy,Q3,170100.0,-0.48614027365515716,-0.48614027365515716,0.0,322.9010271128451,0.09836740431401786,0.09998788010671648,0.6757679534335242,4.224607808411034e-11,2.4641544303927176e-06,8.350172659927089e-08
nominal_proxy,Q3,170400.0,-0.4848591144485773,-0.4848591144485773,0.0,322.90203681570426,0.09796998061218509,0.09958618580577043,0.6731909025170729,4.1892384731789385e-11,2.4436270240069113e-06,8.314203353372183e-08
nominal_proxy,Q3,170700.0,-0.4835820393813878,-0.4835820393813878,0.0,322.90303978170647,0.09757518884384131,0.09918713705288129,0.6706300296436358,4.154392443477801e-11,2.423330606737828e-06,8.278506846708441e-08
nominal_proxy,Q3,171000.0,-0.48230905241128885,-0.48230905241128885,0.0,322.904036072453,0.0971830051180334,0.09879070997030587,0.6680851956922996,4.119733828385026e-11,2.4032704498688773e-06,8.243109471489692e-08
nominal_proxy,Q3,171300.0,-0.4810401568617001,-0.4810401568617001,0.0,322.9050257488291,0.09679340581898685,0.09839688095331042,0.6655562630556383,4.085773432691606e-11,2.383435371844378e-06,8.207981221026686e-08
nominal_proxy,Q3,171600.0,-0.47977535544254035,-0.47977535544254035,0.0,322.9060088710149,0.09640636760208206,0.09800562666627362,0.6630430956196427,4.051927075682932e-11,2.3638149277971365e-06,8.173094048288729e-08
nominal_proxy,Q3,171900.0,-0.4785146473412879,-0.4785146473412879,0.0,322.90698549849594,0.09602186737789133,0.09761692403886153,0.660545558742424,4.0562784082610616e-11,2.3509497740770158e-06,8.161161057286115e-08
nominal_proxy,Q3,172200.0,-0.47725804076877293,-0.47725804076877293,0.0,322.9079556900884,0.0956398823539897,0.09723075026238323,0.6580635192366112,4.0232498942713117e-11,2.331749288098095e-06,8.126837293907873e-08
nominal_proxy,Q3,172500.0,-0.4760055328275089,-0.4760055328275089,0.0,322.90891950389863,0.09526038996708323,0.09684708278571005,0.6555968453441777,3.990497191668138e-11,2.312760537026559e-06,8.092767406004119e-08
nominal_proxy,Q3,172800.0,-0.4747571241113951,-0.4747571241113951,0.0,322.9098769973886,0.09488336791857091,0.09646589931220624,0.6531454067238632,3.958235409249804e-11,2.293979204148755e-06,8.058943853810966e-08
nominal_proxy,Q3,173100.0,-0.4735126166509651,-0.4735126166509651,0.0,322.91082822736496,0.09450879395467533,0.09608717779586948,0.6507090744285002,4.995132069508645e-11,2.5357072783172008e-06,8.943461492529746e-08
nominal_proxy,Q3,173400.0,-0.4722724696831083,-0.4722724696831083,0.0,322.91177325104326,0.09413664649019675,0.09571089643956629,0.6482877209301481,4.954241388717565e-11,2.5151277540103045e-06,8.90594629468495e-08
nominal_proxy,Q3,173700.0,-0.47103639984121765,-0.47103639984121765,0.0,322.9127121225518,0.09376690403786775,0.0953370336865577,0.6458812199631203,4.913504993187346e-11,2.49476576807961e-06,8.868679177293014e-08
nominal_proxy,Q3,174000.0,-0.469804412781003,-0.469804412781003,0.0,322.91364489689647,0.09339954526392791,0.09496556822197336,0.6434894466560083,4.8736302385956485e-11,2.474632631643825e-06,8.831708350938333e-08
nominal_proxy,Q3,174300.0,-0.46857651162768776,-0.46857651162768776,0.0,322.91457162842653,0.09303454908082359,0.09459647896861999,0.641112277462945,4.8339250790970004e-11,2.454711230892581e-06,8.794980843657895e-08
nominal_proxy,Q3,174600.0,-0.46735269712677807,-0.46735269712677807,0.0,322.91549237085445,0.092671894642712,0.094229745083207,0.6387495901429966,4.7948658709849334e-11,2.4350217222579573e-06,8.758576810678724e-08
nominal_proxy,Q3,174900.0,-0.4661329685871888,-0.4661329685871888,0.0,322.9164071772751,0.0923115613393983,0.09386534595317592,0.6364012637427698,4.756089865439309e-11,2.4155460955910257e-06,8.722439748400463e-08
nominal_proxy,Q3,175200.0,-0.4649173243118585,-0.4649173243118585,0.0,322.91731610017933,0.09195352879166359,0.09350326119360186,0.6340671785814577,4.71810933298258e-11,2.396269623228253e-06,8.686524068976229e-08
nominal_proxy,Q3,175500.0,-0.4637057618457641,-0.4637057618457641,0.0,322.9182191914658,0.09159777684728054,0.09314347064414312,0.6317472162332067,4.679888553584245e-11,2.3772130088861587e-06,8.650912320902164e-08
nominal_proxy,Q3,175800.0,-0.4624982781218177,-0.4624982781218177,0.0,322.9191165024511,0.0912442855777609,0.09278595436603874,0.6294412595123176,4.6425710155339743e-11,2.358361534837705e-06,8.615558844423356e-08
nominal_proxy,Q3,176100.0,-0.4612948695759252,-0.4612948695759252,0.0,322.92000808387843,0.09089303527486696,0.09243069263915306,0.6271491924570244,4.605821584884752e-11,2.339709904541909e-06,8.580451727192155e-08
nominal_proxy,Q3,176400.0,-0.4600955321754342,-0.4600955321754342,0.0,322.92089398592674,0.09054400644759714,0.09207766595907217,0.6248709003141236,4.569123561969575e-11,2.321267076499378e-06,8.54563126289618e-08
