scenario,question,level,time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
no_latent,Q2,M,360.0,fixed-domain-moisture,650.0,-1.7907503055851414e-05,1.7907503055851414e-05,-1.7907503060301006e-05,4.449592820934822e-15,5.080326326466244e-12
no_latent,Q2,M,480.0,fixed-domain-moisture,650.0,-1.7309899509598723e-05,1.7309899509598723e-05,-1.7309899511789286e-05,2.1905627268711814e-15,7.31987991727107e-12
no_latent,Q2,M,600.0,fixed-domain-moisture,650.0,-1.68128798135343e-05,1.68128798135343e-05,-1.6812879815459634e-05,1.925332994163337e-15,1.0130418363897517e-11
no_latent,Q2,M,720.0,fixed-domain-moisture,650.0,-1.6390556134747527e-05,1.6390556134747527e-05,-1.6390556134602526e-05,-1.4500187617456917e-16,1.4991697933623828e-11
no_latent,Q2,M,840.0,fixed-domain-moisture,650.0,-1.6019385440674763e-05,1.6019385440674763e-05,-1.6019385438119698e-05,-2.55506472099723e-15,2.0224062820633576e-11
no_latent,Q2,M,960.0,fixed-domain-moisture,650.0,-1.5694237973041957e-05,1.5694237973041957e-05,-1.5694237968828436e-05,-4.21352135040326e-15,2.3402583099349648e-11
no_latent,Q2,M,1080.0,fixed-domain-moisture,650.0,-1.5402479402602674e-05,1.5402479402602674e-05,-1.540247939656755e-05,-6.035123301714046e-15,2.7980859708002916e-11
no_latent,Q2,M,1200.0,fixed-domain-moisture,650.0,-1.5139659479895313e-05,1.5139659479895313e-05,-1.5139659462407966e-05,-1.7487347561771088e-14,2.5593504282881962e-11
no_latent,Q2,M,1320.0,fixed-domain-moisture,650.0,-1.4904017762721847e-05,1.4904017762721847e-05,-1.4904017740985037e-05,-2.1736810214192243e-14,2.891812173737827e-11
no_latent,Q2,M,1440.0,fixed-domain-moisture,650.0,-1.4686155906139859e-05,1.4686155906139859e-05,-1.4686155883215493e-05,-2.2924365652835822e-14,2.948142854442975e-11
no_latent,Q2,M,1560.0,fixed-domain-moisture,650.0,-1.4484902507113326e-05,1.4484902507113326e-05,-1.4484902484298306e-05,-2.281502047560887e-14,2.913257401901806e-11
no_latent,Q2,M,1680.0,fixed-domain-moisture,650.0,-1.4298000101723125e-05,1.4298000101723125e-05,-1.4298000079598843e-05,-2.2124282047781933e-14,2.9074162188222866e-11
no_latent,Q2,M,1800.0,fixed-domain-moisture,650.0,-1.4126376555129891e-05,1.4126376555129891e-05,-1.4126376527416562e-05,-2.7713329000351658e-14,4.6460928642839684e-11
no_latent,Q2,M,1920.0,fixed-domain-moisture,650.0,-1.3963417373252189e-05,1.3963417373252189e-05,-1.396341735021471e-05,-2.303747843261216e-14,3.5202043343542256e-11
no_latent,Q2,M,2040.0,fixed-domain-moisture,650.0,-1.3812959678302626e-05,1.3812959678302626e-05,-1.381295965599132e-05,-2.2311306922535683e-14,4.493352268893982e-11
no_latent,Q2,M,2160.0,fixed-domain-moisture,650.0,-1.366895038474657e-05,1.366895038474657e-05,-1.3668950369506799e-05,-1.523977104722022e-14,3.8371596748264955e-11
no_latent,Q2,M,2280.0,fixed-domain-moisture,650.0,-1.3532638100197185e-05,1.3532638100197185e-05,-1.3532638087442191e-05,-1.2754993120186152e-14,4.510445413273195e-11
no_latent,Q2,M,2400.0,fixed-domain-moisture,650.0,-1.3406989366562226e-05,1.3406989366562226e-05,-1.340698934740935e-05,-1.9152875222220797e-14,2.073215401528018e-11
no_latent,Q2,M,2520.0,fixed-domain-moisture,650.0,-1.3286000180631622e-05,1.3286000180631622e-05,-1.3286000161579622e-05,-1.9052000374466388e-14,2.190457026098655e-11
no_latent,Q2,M,2640.0,fixed-domain-moisture,650.0,-1.3170206342105136e-05,1.3170206342105136e-05,-1.317020632482558e-05,-1.7279556827282452e-14,2.1361346962363305e-11
no_latent,Q2,M,2760.0,fixed-domain-moisture,650.0,-1.3057856414618122e-05,1.3057856414618122e-05,-1.305785642300581e-05,8.38768785601119e-15,3.885724770017642e-11
no_latent,Q2,M,2880.0,fixed-domain-moisture,650.0,-1.2951674693734658e-05,1.2951674693734658e-05,-1.295167467876975e-05,-1.49649088558362e-14,4.149552818421031e-11
