scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,convective_input_J,evaporation_latent_heat_loss_J,geometry_correction_J,expected_sensible_change_J,fixed_geometry_error_J,moving_geometry_error_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q3,M,143925.0,0.09425299311244123,0.09425299311244123,0.0,11.1393441155613,11.045091571069419,0.0,0.0942525444918818,4.4862055942340717e-07,4.4862055942340717e-07,322.77038350732863,0.14852458820748402,0.1472678876142589,3.1722305045017373e-11,4.4862055942340717e-07,4.0273516534667325e-08
nominal_proxy,Q3,M,144000.0,0.09404843374407004,0.09404843374407004,0.0,11.124912924371236,11.030864938295858,0.0,0.09404798607537757,4.4766869247703234e-07,4.4766869247703234e-07,322.7708771243285,0.1483321723249498,0.1470781991772781,3.1651054355203514e-11,4.4766869247703234e-07,4.024019743078878e-08
nominal_proxy,Q3,M,144075.0,0.0938444751176225,0.0938444751176225,0.0,11.110512037347572,11.016668008952259,0.0,0.09384402839531347,4.4672230903319843e-07,4.4672230903319843e-07,322.7713696986486,0.14814016049796763,0.14688890678603012,3.1580341819403194e-11,4.4672230903319843e-07,4.0207175648751207e-08
nominal_proxy,Q3,M,144150.0,0.09364111503110208,0.09364111503110208,0.0,11.09614136805187,11.002500698799258,0.0,0.09364066925261127,4.457784908012963e-07,4.457784908012963e-07,322.77186123327937,0.14794855157402492,0.14670000931732344,3.1510016271908445e-11,4.457784908012963e-07,4.017418992919345e-08
nominal_proxy,Q3,M,144225.0,0.09343835129397275,0.09343835129397275,0.0,11.081800830352824,10.988362923895926,0.0,0.09343790645689865,4.448370741066965e-07,4.448370741066965e-07,322.7723517312006,0.1477573444047043,0.14651150565194568,3.1439765362162824e-11,4.448370741066965e-07,4.014122622455882e-08
nominal_proxy,Q3,M,144300.0,0.09323618172494699,0.09323618172494699,0.0,11.067490338426493,10.974254600598591,0.0,0.09323573782790184,4.438970451492441e-07,4.438970451492441e-07,322.77284119538143,0.14756653784568657,0.1463233946746479,3.1369669737543e-11,4.438970451492441e-07,4.0108193599051707e-08
nominal_proxy,Q3,M,144375.0,0.09303460415804138,0.09303460415804138,0.0,11.053209806753408,10.96017564555952,0.0,0.09303416119388785,4.429641535241835e-07,4.429641535241835e-07,322.77332962877995,0.1473761307567121,0.14613567527412694,3.1299850271641675e-11,4.429641535241835e-07,4.0075612538679625e-08
nominal_proxy,Q3,M,144450.0,0.09283361642403704,0.09283361642403704,0.0,11.038959150119297,10.946125975725742,0.0,0.09283317439355443,4.4203048260582634e-07,4.4203048260582634e-07,322.7738170343443,0.14718612200159062,0.1459483463430099,3.123058952093687e-11,4.4203048260582634e-07,4.004276821706051e-08
nominal_proxy,Q3,M,144525.0,0.09263321637248359,0.09263321637248359,0.0,11.0247382836129,10.93210550833774,0.0,0.09263277527515967,4.4109732391661716e-07,4.4109732391661716e-07,322.7743034150116,0.146996510448172,0.14576140677783653,3.116105878560528e-11,4.4109732391661716e-07,4.000977733614424e-08
nominal_proxy,Q3,M,144600.0,0.0924334018645757,0.0924334018645757,0.0,11.010547122622155,10.918114160928255,0.0,0.09243296169390014,4.401706755613466e-07,4.401706755613466e-07,322.7747887737088,0.1468072949682954,0.1455748554790434,3.1092093273667903e-11,4.401706755613466e-07,3.997718466296525e-08
nominal_proxy,Q3,M,144675.0,0.09223417076044257,0.09223417076044257,0.0,10.996385582839089,10.904151851321094,0.0,0.09223373151799485,4.3924244771953447e-07,4.3924244771953447e-07,322.7752731133522,0.14661847443785453,0.14538869135094792,3.102256441571481e-11,4.3924244771953447e-07,3.994425662965241e-08
nominal_proxy,Q3,M,144750.0,0.0920355209404878,0.0920355209404878,0.0,10.982253580251164,10.890218497629816,0.0,0.09203508262134896,4.3831913883185525e-07,4.3831913883185525e-07,322.7757564368478,0.1464300477366822,0.14520291330173088,3.095388764848205e-11,4.3831913883185525e-07,3.99115842325898e-08
nominal_proxy,Q3,M,144825.0,0.09183745028919314,0.09183745028919314,0.0,10.968151031145432,10.876314018256622,0.0,0.09183701288880997,4.3740038317696683e-07,4.3740038317696683e-07,322.7762387470912,0.14624201374860576,0.14501752024342163,3.088550719823791e-11,4.3740038317696683e-07,3.987913568430212e-08
nominal_proxy,Q3,M,144900.0,0.09163995669752295,0.09163995669752295,0.0,10.954077852105913,10.862438331891058,0.0,0.091639520214855,4.3648266795370816e-07,4.3648266795370816e-07,322.7767200469679,0.14605437136141217,0.14483251109188078,3.0817497380986025e-11,4.3648266795370816e-07,3.984659173020162e-08
