model,bound_fraction,release_tau_s,question,time_s,dt_s,rho_d_kg_m3,liquid_inventory_old_kg,bound_inventory_old_kg,liquid_inventory_new_kg,bound_inventory_new_kg,total_inventory_old_kg,total_inventory_new_kg,delta_total_inventory_kg,boundary_net_in_kg_s,expected_delta_from_boundary_kg,water_balance_residual_kg,release_to_liquid_kg_s,liquid_min_C,bound_min_C,total_min_C,phase_split_residual_C,dry_solid_inventory_relative_error,solver_relative_residual
M2,0.1,7200.0,Q3,108600.0,300.0,650.0,0.019123290143937002,7.639423426988818e-09,0.019083293910630867,7.327654409560236e-09,0.019123297783360426,0.019083301238285277,-3.999654507514869e-05,-1.333218167958051e-07,-3.999654503874153e-05,-3.640715658635718e-14,1.0392300580952732e-12,0.06187874289596193,7.176814895696217e-08,0.06187881466411089,5.472309295295611e-18,0.0,5.975561111585912e-12
M2,0.1,7200.0,Q3,108900.0,300.0,650.0,0.019083293910630867,7.327654409560236e-09,0.01904362129978044,7.028608854989465e-09,0.019083301238285277,0.019043628328389295,-3.967290989598249e-05,-1.3224303287172254e-07,-3.967290986151676e-05,-3.446572996619601e-14,9.968185152359047e-13,0.061847086569923555,6.88392518357563e-08,0.06184715540917539,9.09845734249127e-18,0.0,5.708030051785067e-12
M2,0.1,7200.0,Q3,109200.0,300.0,650.0,0.01904362129978044,7.028608854989465e-09,0.01900426825729441,6.741767511849825e-09,0.019043628328389295,0.019004274999061918,-3.9353329327376785e-05,-1.31177764315899e-07,-3.93533292947697e-05,-3.260708218190411e-14,9.561378104654636e-13,0.06181563921159117,6.602988459613833e-08,0.06181570524147576,8.323435430643387e-18,0.0,5.452120522131277e-12
M2,0.1,7200.0,Q3,109500.0,300.0,650.0,0.01900426825729441,6.741767511849825e-09,0.01896523079535195,6.466632319647259e-09,0.019004274999061918,0.01896523726198427,-3.903773707764763e-05,-1.301257901558019e-07,-3.9037737046740574e-05,-3.090705317544684e-14,9.171173073418878e-13,0.06178439853172346,6.333516915874896e-08,0.06178446186689262,6.042018361662933e-18,0.0,5.2091796747785115e-12
M2,0.1,7200.0,Q3,109800.0,300.0,650.0,0.01896523079535195,6.466632319647259e-09,0.018926504991106048,6.202725544006862e-09,0.01896523726198427,0.018926511193831593,-3.872606815267729e-05,-1.290868937449244e-07,-3.872606812347732e-05,-2.9199970078604837e-14,8.796892521346605e-13,0.06175336227578017,6.075042652129585e-08,0.06175342302620669,1.3529895494509355e-18,0.0,4.976850202727527e-12
M2,0.1,7200.0,Q3,110100.0,300.0,650.0,0.018926504991106048,6.202725544006862e-09,0.018888086985414696,5.949588947152924e-09,0.018926511193831593,0.018888092935003643,-3.8418258827950524e-05,-1.2806086266793477e-07,-3.841825880038043e-05,-2.7570095728970956e-14,8.437886561797882e-13,0.06172252822326211,5.827116863411035e-08,0.06172258649443074,6.212205809612043e-18,0.0,4.754742704760945e-12
M2,0.1,7200.0,Q3,110400.0,300.0,650.0,0.018888086985414696,5.949588947152924e-09,0.018849972981601425,5.7067829922421424e-09,0.018888092935003643,0.018849978688384415,-3.8114246619227327e-05,-1.2704748864336283e-07,-3.8114246593008845e-05,-2.621848186690548e-14,8.093531830359402e-13,0.06169189418706365,5.5893090607267346e-08,0.06169195008015426,6.988762968676825e-18,0.0,4.544038721429058e-12
M2,0.1,7200.0,Q3,110700.0,300.0,650.0,0.018849972981601425,5.7067829922421424e-09,0.01881215924424129,5.4738860801684035e-09,0.018849978688384415,0.018812164718127366,-3.781397025704944e-05,-1.2604656744111221e-07,-3.781397023233366e-05,-2.471577765584057e-14,7.763230402457961e-13,0.0616614580128439,5.3612063235736635e-08,0.061661511624907135,2.4484810829365636e-18,0.0,4.3400486764196595e-12
M2,0.1,7200.0,Q3,111000.0,300.0,650.0,0.01881215924424129,5.4738860801684035e-09,0.01877464209797402,5.250493817514e-09,0.018812164718127366,0.018774647348467833,-3.751736965953295e-05,-1.2505789878748942e-07,-3.751736963624683e-05,-2.3286121566146872e-14,7.446408755146808e-13,0.061631217578405936,5.142412582958701e-08,0.06163126900253177,1.0876088331202428e-17,0.0,4.144738683358419e-12
M2,0.1,7200.0,Q3,111300.0,300.0,650.0,0.01877464209797402,5.250493817514e-09,0.01873741792634389,5.036218314376139e-09,0.018774647348467833,0.018737422962562204,-3.7224385905629265e-05,-1.2408128627921384e-07,-3.722438588376415e-05,-2.1865111988778746e-14,7.142516771261999e-13,0.061601170793095704,4.932547933679357e-08,0.061601220118575044,3.0964943748106055e-18,0.0,3.9560769249769444e-12
M2,0.1,7200.0,Q3,111600.0,300.0,650.0,0.01873741792634389,5.036218314376139e-09,0.01870048317066511,4.830687510849548e-09,0.018737422962562204,0.018700488001352617,-3.69349612095865e-05,-1.2311653729672834e-07,-3.6934961189018504e-05,-2.05679996146714e-14,6.851026784219705e-13,0.06157131559720747,4.731247974670704e-08,0.06157136290968722,7.159598926226177e-18,0.0,3.782251155351143e-12
M2,0.1,7200.0,Q3,111900.0,300.0,650.0,0.01870048317066511,4.830687510849548e-09,0.018663834328911475,4.6335445309956726e-09,0.018700488001352617,0.01866383896245601,-3.6649038896607866e-05,-1.2216346292427943e-07,-3.6649038877283826e-05,-1.9324040252070157e-14,6.57143266179587e-13,0.061541649961410864,4.538163176273102e-08,0.06154169534304263,4.685250251173855e-18,0.0,3.615703072621812e-12
M2,0.1,7200.0,Q3,112200.0,300.0,650.0,0.018663834328911475,4.6335445309956726e-09,0.018627467954630487,4.444447063176756e-09,0.01866383896245601,0.01862747239907755,-3.636656337845795e-05,-1.2122187786768435e-07,-3.636656336030531e-05,-1.8152641119862506e-14,6.30324892729724e-13,0.06151217188618522,4.352958273322079e-08,0.06151221541576795,1.0674501107200805e-17,0.0,3.456096621917434e-12
M2,0.1,7200.0,Q3,112500.0,300.0,650.0,0.018627467954630487,4.444447063176756e-09,0.018591380655880944,4.263066765678815e-09,0.01862747239907755,0.01859138491894771,-3.608748012984275e-05,-1.202916003757124e-07,-3.608748011271372e-05,-1.7129032296291785e-14,6.046009916597998e-13,0.06148287940126619,4.175311683006536e-08,0.06148292115438302,4.98249264121111e-18,0.0,3.289389279596763e-12
