model,bound_fraction,release_tau_s,question,time_s,dt_s,L_v_J_per_kg,surface_gasification_rate_kg_s,latent_power_W,cumulative_latent_energy_J,outer_gasification_max_kg_m2_s,z0_gasification_max_kg_m2_s,z1_gasification_max_kg_m2_s,liquid_inventory_kg,bound_inventory_kg,release_to_liquid_kg_s,heat_boundary_in_W,heat_solver_relative_residual,latent_enabled
M2,0.2,7200.0,Q2,5400.0,120.0,2400000.0,6.670100355143071e-06,16.00824085234337,104231.35868965619,0.000407628068987796,0.0,0.0004244800136106512,0.1923327353135593,0.024597023063121646,3.4448808009775256e-06,17.06463503903631,3.7442961039954716e-11,True
M2,0.2,7200.0,Q2,5520.0,120.0,2400000.0,6.650184195126851e-06,15.960442068304442,106146.61173785273,0.0004061600253194783,0.0,0.00042410103192612664,0.1919412662421524,0.024190470031572098,3.3879419295795435e-06,17.03693177224868,3.4970119150570124e-11,True
M2,0.2,7200.0,Q2,5640.0,120.0,2400000.0,6.6318577375968655e-06,15.916458570232477,108056.58676628063,0.00040490183877844513,0.0,0.00042372899813110994,0.19154527661507603,0.023790636730578484,3.331944174946814e-06,16.933189034095687,3.3537212514255706e-11,True
M2,0.2,7200.0,Q2,5760.0,120.0,2400000.0,6.612842885972463e-06,15.870822926333911,109961.08551744069,0.00040392125313266875,0.0,0.00042331733926134004,0.19114496010660473,0.02339741209276399,3.276871981787405e-06,16.86752663640134,2.0907303652256376e-11,True
M2,0.2,7200.0,Q2,5880.0,120.0,2400000.0,6.591838837329218e-06,15.820413209590123,111859.5351025915,0.0004028168336958593,0.0,0.0004227335437201156,0.19074066465238723,0.023010686886534095,3.222710051915785e-06,16.751544382152996,1.959576026270405e-11,True
M2,0.2,7200.0,Q2,6000.0,120.0,2400000.0,6.576676038024994e-06,15.784022491259986,113753.6178015427,0.0004020419694594219,0.0,0.00042257071907447665,0.19033179672902578,0.02263035368573372,3.169443340003159e-06,16.810097647327357,3.762831214911553e-11,True
M2,0.2,7200.0,Q2,6120.0,120.0,2400000.0,6.557237213491808e-06,15.73736931238034,115642.10211902834,0.00040102258844811387,0.0,0.0004221959219292593,0.18991897510972264,0.02225630683980594,3.1170570493981433e-06,16.620753810797726,4.869550549967109e-11,True
M2,0.2,7200.0,Q2,6240.0,120.0,2400000.0,6.539644959175219e-06,15.695147902020526,117525.51986727079,0.00040009599863652395,0.0,0.00042206596030389414,0.18950208211036024,0.02188844244444396,3.0655366280165222e-06,16.6364983182318,4.598720733523199e-11,True
M2,0.2,7200.0,Q2,6360.0,120.0,2400000.0,6.521655417222432e-06,15.651973001333836,119403.75662743085,0.0003991490099718446,0.0,0.00042180584588215174,0.18908126759237523,0.021526658312728097,3.014867764298832e-06,16.505188330241666,4.319525753012708e-11,True
M2,0.2,7200.0,Q2,6480.0,120.0,2400000.0,6.500410697997437e-06,15.600985675193849,121275.8749084541,0.00039800233997408887,0.0,0.00042132968297960036,0.18865702267495793,0.021170853946739912,2.965036383234893e-06,16.3789861184455,4.11834928430996e-11,True
M2,0.2,7200.0,Q2,6600.0,120.0,2400000.0,6.4812361202780975e-06,15.554966688667434,123142.47091109419,0.0003969637653246868,0.0,0.000421025863004452,0.18822919777796307,0.02082093050964543,2.9160286424540122e-06,16.37496729313613,3.9132163243003304e-11,True
