time_s,max_C,mean_C,center_C,surface_C
160200,0.1642407983246616,0.1254926106102513,0.1642407983246616,0.0535661723209361
160260,0.1641981634376461,0.1254650885189532,0.1641981634376461,0.0535630687058271
160320,0.1641555672311755,0.1254375901263327,0.1641555672311755,0.0535599692940832
160380,0.164113009650917,0.1254101154004678,0.164113009650917,0.0535568740780947
160440,0.164070490642993,0.1253826643094947,0.164070490642993,0.0535537830502559
160500,0.1640280101529272,0.1253552368216062,0.1640280101529272,0.0535506962030343
160560,0.1639855681270082,0.1253278329050538,0.1639855681270082,0.0535476135287936
160620,0.1639431645110868,0.1253004525281445,0.1639431645110868,0.0535445350200833
160680,0.1639007992516066,0.1252730956592438,0.1639007992516066,0.053541460669287
160740,0.1638584722946677,0.1252457622667733,0.1638584722946677,0.0535383904689462
160800,0.1638161835869027,0.1252184523192117,0.1638161835869027,0.0535353244115603
160860,0.1637739330746271,0.1251911657850941,0.1637739330746271,0.0535322624896518
160920,0.1637317207046585,0.1251639026330124,0.1637317207046585,0.0535292046957616
160980,0.1636895464235295,0.1251366628316148,0.1636895464235295,0.0535261510224473
161040,0.1636474101782378,0.1251094463496058,0.1636474101782378,0.0535231014622833
161100,0.1636053119155345,0.1250822531557459,0.1636053119155345,0.0535200560078605
161160,0.1635632515825927,0.1250550832188521,0.1635632515825927,0.0535170146517867
161220,0.1635212291263846,0.1250279365077968,0.1635212291263846,0.0535139773866857
161280,0.1634792444942535,0.1250008129915084,0.1634792444942535,0.0535109442051983
161340,0.1634372976333943,0.124973712638971,0.1634372976333943,0.0535079150999814
161400,0.1633953884913179,0.1249466354192242,0.1633953884913179,0.0535048900637083
161460,0.163353517015443,0.1249195813013628,0.163353517015443,0.0535018690890689
161520,0.1633116831534447,0.1248925502545375,0.1633116831534447,0.0534988521687692
161580,0.1632698868529663,0.1248655422479533,0.1632698868529663,0.0534958392955314
161640,0.1632281280618459,0.124838557250871,0.1632281280618459,0.053492830462094
161700,0.1631864067279494,0.1248115952326059,0.1631864067279494,0.0534898256612118
161760,0.1631447227992792,0.1247846561625283,0.1631447227992792,0.0534868248856555
161820,0.1631030762239206,0.124757740010063,0.1631030762239206,0.0534838281282121
161880,0.1630614669500417,0.1247308467446896,0.1630614669500417,0.0534808353816844
161940,0.1630198949259434,0.1247039763359418,0.1630198949259434,0.0534778466388914
162000,0.1629783600999622,0.1246771287534081,0.1629783600999622,0.053474861892668
162060,0.1629368624206098,0.1246503039667306,0.1629368624206098,0.053471881135865
162120,0.162895401836395,0.1246235019456061,0.162895401836395,0.053468904361349
162180,0.1628539782960338,0.1245967226597847,0.1628539782960338,0.0534659315620026
162240,0.1628125917482111,0.1245699660790712,0.1628125917482111,0.0534629627307127
162300,0.1627712421418434,0.1245432321733228,0.1627712421418434,0.0534599978604372
162360,0.162729929425794,0.124516520912452,0.162729929425794,0.0534570369440309
162420,0.1626886535491749,0.124489832266423,0.1626886535491749,0.0534540799745306
162480,0.1626474144610309,0.124463166205255,0.1626474144610309,0.0534511269448085
162540,0.1626062121106652,0.1244365226990192,0.1626062121106652,0.0534481778478911
162600,0.1625650464473064,0.1244099017178408,0.1625650464473064,0.0534452326767628
162660,0.1625239174204455,0.1243833032318972,0.1625239174204455,0.0534422914244296
162720,0.1624828249794958,0.1243567272114195,0.1624828249794958,0.0534393540839142
162780,0.1624417690741344,0.1243301736266909,0.1624417690741344,0.0534364206482553
162840,0.1624007496540079,0.124303642447895,0.1624007496540079,0.0534334911100278
162900,0.1623597666678494,0.1242771336455757,0.1623597666678494,0.0534305654629967
162960,0.1623188200684883,0.124250647190173,0.1623188200684883,0.0534276437001491
163020,0.1622779098013184,0.1242241830521803,0.1622779098013184,0.053424725814513
163080,0.1622370358226563,0.1241977412021429,0.1622370358226563,0.0534218117991643
163140,0.1621961980751699,0.1241713216106588,0.1621961980751699,0.0534189016472127
163200,0.1621553965169618,0.1241449242483776,0.1621553965169618,0.053415995351794
163260,0.1621146310833824,0.1241185490860012,0.1621146310833824,0.0534130929060793
163320,0.1620739017406045,0.1240921960942827,0.1620739017406045,0.0534101943032105
163380,0.1620332084371724,0.1240658652440269,0.1620332084371724,0.053407299536401
163440,0.1619925511216549,0.1240395565060913,0.1619925511216549,0.053404408598864
163500,0.1619519297474126,0.1240132698513833,0.1619519297474126,0.0534015214838211
163560,0.1619113442552573,0.1239870052508625,0.1619113442552573,0.0533986381845034
163620,0.1618707946095329,0.1239607626755391,0.1618707946095329,0.0533957586941677
163680,0.1618302807464478,0.1239345420964744,0.1618302807464478,0.0533928830060832
163740,0.1617898026323607,0.1239083434847809,0.1617898026323607,0.0533900111135316
163800,0.1617493602035285,0.1238821668116216,0.1617493602035285,0.0533871430098119
163860,0.1617089534259567,0.1238560120482106,0.1617089534259567,0.0533842786882333
163920,0.1616685822361485,0.1238298791658122,0.1616685822361485,0.0533814181421215
163980,0.1616282465999576,0.1238037681357415,0.1616282465999576,0.0533785613648163
164040,0.1615879464547068,0.1237776789293641,0.1615879464547068,0.0533757083496618
164100,0.1615476817659271,0.1237516115180952,0.1615476817659271,0.0533728590900681
164160,0.1615074524716334,0.1237255658734012,0.1615074524716334,0.0533700135793456
164220,0.1614672585369732,0.1236995419667975,0.1614672585369732,0.0533671718109806
