implementation,question,family,level,label,nr,nz,dt_s,duration_s,space_level,time_level,runtime_s,completed_to_event,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,max_picard_iterations,max_picard_update,normalized_moisture_balance_error,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,temperature_solver_calls,internal_temperature_min_C,internal_temperature_max_C,internal_temperature_mean_C,internal_temperature_range_C,max_abs_internal_minus_environment_C,environment_temperature_C_at_last_record,parameter_multipliers,source
prescribed-T-baseline,Q4,time,M,Q4-time-M,12,12,300.0,259200.0,1,1,2.1154237000009743,True,186537.3033848835,186540.0,186540.0,0.149967501458462,0.11698914866981108,4.995032556008601e-11,6,9.93169985002984e-08,8.257924512688225e-10,4.440892098500626e-16,0.0,7.218180869947748e-15,"[186300.0, 186600.0, 0.15011822032013966, 0.149967501458462]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q4,time,H,Q4-time-H,12,12,150.0,259200.0,1,2,3.276488999996218,True,186182.49531246268,186240.0,186240.0,0.14994000771865426,0.11697038583537028,4.993913611614288e-11,5,9.966251927895353e-08,9.423424433404574e-10,6.661338147750939e-16,0.0,8.096214461664643e-15,"[186150.0, 186300.0, 0.15001531400972498, 0.14994000771865426]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,spatial,L,Q3-spatial-L,8,8,300.0,259200.0,0,1,2.895535799994832,True,221841.08277370883,221880.0,221880.0,0.14995785912892948,0.12387628589070786,4.99934663106543e-11,5,9.888319529860468e-08,6.494901395715947e-10,0.0,0.0,0.0,"[221700.0, 222000.0, 0.1500355238453935, 0.14995785912892948]",231,49.998934426229596,49.99893442623011,49.99893442622982,5.115907697472721e-13,6.252776074688882e-13,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,spatial,M,Q3-spatial-M,12,12,300.0,259200.0,1,1,3.9555466000019806,True,213374.19495377087,213420.0,213420.0,0.14993638714134797,0.12289735811913033,4.9961524537958594e-11,6,9.979815110416901e-08,5.159444118141093e-10,0.0,0.0,0.0,"[213300.0, 213600.0, 0.15001957331415186, 0.14993638714134797]",273,49.99893442622971,49.998934426230676,49.99893442623012,9.663381206337363e-13,1.1937117960769683e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,spatial,H,Q3-spatial-H,18,18,300.0,259200.0,2,1,5.887750499998219,True,210287.00624195047,210300.0,210300.0,0.1499952950261403,0.12229254694102548,4.999190495809752e-11,8,9.951727902857144e-08,5.43013744857858e-10,0.0,0.0,0.0,"[210000.0, 210300.0, 0.15008083549516152, 0.1499952950261403]",534,49.998934426229994,49.99893442623198,49.99893442623121,1.9895196601282805e-12,2.5011104298755527e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,time,L,Q3-time-L,12,12,600.0,259200.0,1,0,2.6590714000049047,True,214315.00717468484,214320.0,214320.0,0.14986481871778942,0.1228476398415277,4.9983496415731463e-11,8,9.939769762823403e-08,5.503379156196833e-10,0.0,0.0,0.0,"[214200.0, 214800.0, 0.15003081863598208, 0.14986481871778942]",241,49.99893442622971,49.99893442623073,49.99893442623017,1.0231815394945443e-12,1.2505552149377763e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,time,M,Q3-time-M,12,12,300.0,259200.0,1,1,4.161268299998483,True,213374.19495377087,213420.0,213420.0,0.14993638714134797,0.12289735811913033,4.9961524537958594e-11,6,9.979815110416901e-08,5.159444118141093e-10,0.0,0.0,0.0,"[213300.0, 213600.0, 0.15001957331415186, 0.14993638714134797]",273,49.99893442622971,49.998934426230676,49.99893442623012,9.663381206337363e-13,1.1937117960769683e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,time,H,Q3-time-H,12,12,150.0,259200.0,1,2,6.440948499992373,True,212902.53380224042,212940.0,212940.0,0.1499719437876814,0.12292202230679608,4.9998686609928506e-11,5,9.989338436988682e-08,1.6594230524897539e-09,0.0,0.0,0.0,"[212850.0, 213000.0, 0.1500135831656512, 0.1499719437876814]",571,49.99893442622971,49.99893442623062,49.99893442623004,9.094947017729282e-13,1.1368683772161603e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,spatial,L,Q4-spatial-L,8,8,300.0,259200.0,0,1,2.747204300001613,True,189886.1250996116,189900.0,189900.0,0.14999223099787928,0.11769997556747779,4.9994078642278354e-11,6,9.92376707198428e-08,7.79989232366209e-10,4.440892098500626e-16,0.0,4.0792193595404256e-15,"[189600.0, 189900.0, 0.1501385888512238, 0.14999223099787928]",301,49.998934426229596,49.998934426229994,49.99893442622976,3.979039320256561e-13,5.115907697472721e-13,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,spatial,M,Q4-spatial-M,12,12,300.0,259200.0,1,1,3.4786988999985624,True,186821.2146792596,186840.0,186840.0,0.14995942641406115,0.11698131617841888,4.9971273697610745e-11,6,9.99937673495932e-08,8.934328808464882e-10,4.440892098500626e-16,0.0,7.218180869947748e-15,"[186600.0, 186900.0, 0.150110115345325, 0.14995942641406115]",314,49.99893442622971,49.99893442623079,49.99893442623015,1.0800249583553523e-12,1.3073986337985843e-12,49.99893442622948,{},existing-completion-package
